MYRON_COMPANY_CODE,orderno,ORD_REV_GRS_BOOK_W_OV,DATE_ENTERED,MYRON_ACCT,CODE_ENTRY_INITIALS
MY,116677980,241.04,6/17/20,18491042,42495
MY,116680893,241.04,6/17/20,29143931,44024
MY,116682543,241.04,6/17/20,29149125,44010
MY,116685819,241.04,6/18/20,6669667,43937
MY,116701244,241.04,6/22/20,29121190,42799
MY,116702671,241.04,6/22/20,18843351,43558
MY,116702929,241.04,6/22/20,16363867,42848
MY,116704065,241.04,6/22/20,23169037,43456
MY,116716036,241.04,6/23/20,18358733,44019
MY,116731340,241.04,6/25/20,10737793,43456
MY,116744103,241.04,6/26/20,20360486,42421
MY,116745126,241.04,6/26/20,7437570,43430
MY,116748252,241.04,6/26/20,29105226,43820
MY,116754003,241.04,6/29/20,29117673,43463
MY,116764325,241.04,6/30/20,29082731,41147
MY,116770140,241.04,6/30/20,29129571,44013
MY,116775230,241.04,7/1/20,28883922,42882
MY,116621152,241.08,6/5/20,29169625,44012
MY,116701723,241.35,6/22/20,6304039,42613
MY,116632662,241.73,6/8/20,6461170,42421
MY,116631888,242.02,6/8/20,12043054,42955
MY,116625690,242.07,6/5/20,14238474,43858
MY,116669896,242.07,6/16/20,26689604,42542
MY,116744038,242.45,6/26/20,15726572,41258
MY,116727926,242.95,6/24/20,5986432,43932
MY,116670274,243.01,6/16/20,22499296,44013
MY,116681586,243.14,6/17/20,25184458,42799
MY,116646563,243.44,6/10/20,29121846,43721
MY,116726795,243.45,6/24/20,22665237,44011
MY,116629833,243.66,6/8/20,22741099,44010
MY,116776394,243.95,7/1/20,9701634,44019
MY,116753088,244.2,6/29/20,11965412,43937
MY,116619040,244.45,6/4/20,21991017,41225
MY,116639329,244.45,6/9/20,25679783,42708
MY,116670985,244.45,6/16/20,15495017,41225
MY,116747619,244.45,6/26/20,7298022,42155
MY,116753286,244.45,6/29/20,8660919,43857
MY,116763079,244.45,6/30/20,11142806,42434
MY,116779695,244.45,7/1/20,7390332,43932
MY,116718875,244.6,6/24/20,16399859,43453
MY,116721333,244.9,6/24/20,6444138,43820
MY,116711896,244.92,6/23/20,6259639,42959
MY,116636333,244.95,6/9/20,5933528,42434
MY,116651738,244.95,6/11/20,10848963,43456
MY,116743774,244.95,6/26/20,27369702,42078
MY,116732769,245.27,6/25/20,21825250,41132
MY,116661752,245.41,6/15/20,7630308,43749
MY,116751900,245.62,6/29/20,10255915,43430
MY,116668740,245.95,6/16/20,18755605,42434
MY,116709254,246,6/23/20,19908670,44027
MY,116744152,246.14,6/26/20,9750409,42434
MY,116711417,246.3,6/23/20,7526192,42434
MY,116644527,246.44,6/10/20,25472699,41225
MY,116694662,246.44,6/19/20,6174098,41132
MY,116619081,247,6/4/20,6819908,42369
MY,116675752,247.2,6/16/20,23263012,42613
MY,116759275,247.33,6/29/20,29176437,44021
MY,116764192,247.33,6/30/20,29161440,43820
MY,116749078,247.37,6/26/20,6876754,42078
MY,116701400,247.47,6/22/20,20974230,43857
MY,116686627,247.49,6/18/20,6628050,42369
MY,116620659,247.51,6/5/20,14280576,43985
MY,116682998,247.55,6/17/20,3508314,42421
MY,116608365,247.95,6/3/20,11139891,41210
MY,116699653,247.95,6/22/20,18597616,43453
MY,116704842,247.95,6/22/20,6772111,41247
MY,116625567,248.2,6/5/20,29174513,43932
MY,116708801,248.38,6/23/20,29163746,42542
MY,116764200,248.38,6/30/20,29171696,43749
MY,116606393,248.57,6/3/20,22858241,42903
MY,116641903,248.57,6/10/20,6271908,43857
MY,116662206,248.57,6/15/20,29176854,43749
MY,116672866,248.57,6/16/20,13724786,43453
MY,116771809,248.57,7/1/20,16010625,44011
MY,116744095,248.7,6/26/20,7699866,43937
MY,116706995,248.85,6/23/20,7594656,42155
MY,116642182,248.9,6/10/20,10279907,42708
MY,116618083,248.95,6/4/20,29105343,42155
MY,116774092,248.95,7/1/20,6381888,42421
MY,116652751,249,6/11/20,11076547,43456
